key_ID,village,interview_date,years_farm,no_membrs,years_liv,respondent_roof_type,respondent_wall_type,buildings_in_compound,no_plots,water_use,months_no_water,memb_assoc,affect_conflicts,emply_lab,du_labour,liv_owned,liv_count,poultry,du_look_aftr_cows,items_owned,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,instanceID
1,God,2016-11-17T00:00:00Z,11,3,4,grass,muddaub,1,2,no,NULL,NULL,NULL,no,no,poultry,1,yes,no,bicycle;television;solar_panel;table,2,Jan,na;rely_less_food;reduce_meals;day_night_hungry,-19.11225943,33.48345609,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,God,2016-11-17T00:00:00Z,2,7,9,grass, muddaub,1,3,yes,Aug;Sept,yes,once,yes,no,oxen;cows;goats,3,yes,no,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec,na;reduce_meals;restrict_adults;borrow_food;seek_government,-19.11247712,33.48341568,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
3,God,2016-11-17T00:00:00Z,40,10,15,mabatisloping, burntbricks,1,1,no,NULL,NULL,NULL,no,yes,none,1,yes,no,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec,na;restrict_adults;lab_ex_food,-19.1121076,33.48344998,uuid:193d7daf-9582-409b-bf09-027dd36f9007
4,God,2016-11-17T00:00:00Z,6,7,6,mabatisloping, burntbricks,1,3,no,NULL,NULL,NULL,no,yes,oxen;cows,2,yes,no,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec,na;reduce_meals;restrict_adults;lab_ex_food,-19.11222901,33.48342395,uuid:148d1105-778a-4755-aa71-281eadd4a973
5,God,2016-11-17T00:00:00Z,18,7,40,grass,burntbricks,1,2,no,NULL,NULL,NULL,no,no,oxen;cows;goats;poultry,4,yes,no,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,na;go_forest;migrate,-19.11221722,33.48342524,uuid:2c867811-9696-4966-9866-f35c3e97d02d
6,God,2016-11-17T00:00:00Z,3,3,3,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,none,1,no,no,NULL,2,Aug;Sept;Oct,borrow_food;lab_ex_food;seek_government,-19.1121959,33.48339187,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
7,God,2016-11-17T00:00:00Z,20,6,38,grass,muddaub,1,4,yes,Aug;Sept;Oct,no,never,no,no,oxen,1,no,no,motorcyle;cow_plough,3,Nov,lab_ex_food,-19.11221904,33.48336498,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
8,Chirodzo,2016-11-16T00:00:00Z,16,12,70,mabatisloping,burntbricks,2,2,yes,Sept;Oct,yes,never,yes,no,oxen;goats,2,yes,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,2,Jan,rely_less_food;limit_variety;reduce_meals;restrict_adults;borrow_food,-19.11215963,33.48341914,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
9,Chirodzo,2016-11-16T00:00:00Z,16,8,6,grass,burntbricks,2,3,yes,Oct;Nov,no,never,yes,yes,oxen;cows;goats,3,yes,no,television;solar_panel;solar_torch,3,Jan;Dec,rely_less_food;limit_variety;limit_portion;restrict_adults;lab_ex_food,-19.11221518,33.48343695,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
10,Chirodzo,2016-12-16T00:00:00Z,22,12,23,mabatisloping,burntbricks,1,2,yes,Sept;Oct;Nov,no,never,yes,no,oxen;cows,2,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,3,Jan;Oct;Nov;Dec,rely_less_food;limit_portion;restrict_adults;lab_ex_food,-19.1122147,33.48339436,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
11,God,2016-11-21T00:00:00Z,6,6,20,grass,sunbricks,2,2,no,NULL,NULL,NULL,no,yes,oxen;cows,2,no,no,radio;cow_plough,2,Oct;Nov,rely_less_food;lab_ex_food,-19.11219126,33.48345933,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
12,God,2016-11-21T00:00:00Z,20,7,20,mabatisloping,burntbricks,2,2,yes,Aug;Sept;Oct;Nov,yes,never,no,no,oxen;cows,2,yes,no,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.11229465,33.48341504,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
13,God,2016-11-21T00:00:00Z,7,6,8,grass,burntbricks,1,4,yes,Oct,no,never,yes,no,cows;goats;poultry,3,yes,no,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov,lab_ex_food,-19.11236935,33.48355635,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
14,God,2016-11-21T00:00:00Z,20,10,20,grass,burntbricks,3,3,no,NULL,NULL,NULL,yes,yes,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov,reduce_meals;lab_ex_food,-19.11222089,33.4834388,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
15,God,2016-11-21T00:00:00Z,30,5,30,grass,sunbricks,1,3,yes,Sept;Oct;Nov,yes,once,no,no,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov,na;rely_less_food;limit_portion;reduce_meals;lab_ex_food,-19.1120793,33.48339657,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
16,God,2016-11-24T00:00:00Z,24,6,47,grass,muddaub,2,1,no,NULL,NULL,NULL,yes,yes,oxen;cows;goats;poultry,4,no,no,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb,lab_ex_food,-19.11210678,33.48344397,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
17,God,2016-11-21T00:00:00Z,10,8,20,grass,sunbricks,2,3,no,NULL,NULL,NULL,no,yes,goats,1,no,yes,mobile_phone,2,Nov;Dec,lab_ex_food,-19.11218314,33.48346325,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
18,God,2016-11-21T00:00:00Z,6,4,20,grass,muddaub,1,2,no,NULL,NULL,NULL,no,yes,goats;pigs;poultry,3,yes,no,bicycle;mobile_phone,2,Oct;Nov,reduce_meals;lab_ex_food,-19.11133515,33.47630848,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
19,God,2016-11-21T00:00:00Z,20,9,23,mabatisloping,burntbricks,1,2,no,NULL,NULL,NULL,yes,yes,oxen;goats,2,yes,no,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Oct;Nov;Dec,rely_less_food;limit_portion;lab_ex_food;seek_government,-19.11142642,33.47640837,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
20,God,2016-11-21T00:00:00Z,24,6,1,grass,burntbricks,1,2,no,NULL,NULL,NULL,no,yes,cows,1,yes,yes,bicycle;cow_plough;solar_torch,2,Oct;Nov,rely_less_food;lab_ex_food,-19.11147317,33.47619213,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
21,God,2016-11-21T00:00:00Z,20,8,20,mabatisloping,burntbricks,1,4,yes,Oct,no,never,no,yes,oxen;cows;goats,3,yes,no,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec,rely_less_food;restrict_adults;day_night_hungry;lab_ex_food,-19.11155014,33.47623134,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
22,God,2016-11-21T00:00:00Z,14,4,20,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,goats,1,yes,no,radio,2,Jan;Feb;Mar;Apr;Aug;Sept;Oct;Nov;Dec,rely_less_food;reduce_meals;go_forest;lab_ex_food,-19.11212691,33.48350764,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
23,Ruaca,2016-11-21T00:00:00Z,12,10,20,mabatisloping,burntbricks,1,2,no,NULL,NULL,NULL,yes,no,oxen;cows;goats,3,yes,no,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,3,none,na,-19.11219352,33.4833833,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
24,Ruaca,2016-11-21T00:00:00Z,8,6,4,mabatisloping,burntbricks,2,3,yes,Sept;Oct,no,never,yes,no,oxen;cows;goats,3,no,no,radio;table;sofa_set;mobile_phone,2,Nov;Dec,lab_ex_food,-19.11218803,33.48343475,uuid:661457d3-7e61-45e8-a238-7415e7548f82
25,Ruaca,2016-11-21T00:00:00Z,10,11,6,mabatisloping,burntbricks,2,3,yes,Aug;Sept,no,never,yes,no,oxen;cows,2,yes,no,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,2,Jan;Feb;Oct,na,-19.11223416,33.4834841,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
26,Ruaca,2016-11-21T00:00:00Z,2,3,20,mabatisloping,burntbricks,2,2,yes,Oct;Nov,no,never,yes,yes,oxen;cows,2,yes,no,radio;cow_plough;table;mobile_phone,2,none,na,-19.11230411,33.48354341,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
27,Ruaca,2016-11-21T00:00:00Z,36,7,36,grass,burntbricks,3,2,no,NULL,NULL,NULL,no,no,oxen;cows;poultry,3,yes,no,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,na,-19.0430007,33.40508367,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
28,Ruaca,2016-11-21T00:00:00Z,2,2,2,grass,muddaub,1,3,yes,Aug;Sept;Oct;Nov,no,more_once,no,yes,none,1,yes,no,NULL,3,Aug;Sept;Oct,rely_less_food;reduce_meals;borrow_food;go_forest;lab_ex_food,-19.04290893,33.40506932,uuid:1de53318-a8cf-4736-99b1-8239f8822473
29,Ruaca,2016-11-21T00:00:00Z,10,7,10,mabatisloping,burntbricks,1,3,yes,Sept;Oct;Nov,yes,frequently,no,no,goats,1,yes,no,motorcyle;bicycle;radio;table;mobile_phone,3,Jan;Feb,rely_less_food;limit_variety,-19.04302413,33.40507276,uuid:adcd7463-8943-4c67-b25f-f72311409476
30,Ruaca,2016-11-21T00:00:00Z,22,7,22,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,none,1,no,no,bicycle;radio;mobile_phone,2,Jan;Feb,rely_less_food;limit_variety;limit_portion;restrict_adults;lab_ex_food,-19.04300478,33.40505449,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
31,Ruaca,2016-11-21T00:00:00Z,15,3,2,grass,muddaub,7,1,no,NULL,NULL,NULL,no,no,none,1,no,no,NULL,3,none,na,-19.04302176,33.40509382,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
32,Ruaca,2016-11-21T00:00:00Z,53,19,69,mabatipitched,muddaub,8,8,yes,Sept;Oct,yes,more_once,yes,yes,oxen;cows;goats;pigs;poultry,5,yes,no,cow_cart;motorcyle;radio;cow_plough;solar_panel;mobile_phone,2,none,na,-19.04411399,33.40390565,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
33,Ruaca,2016-11-21T00:00:00Z,20,8,34,grass,muddaub,2,2,yes,Aug;Sept;Oct,no,more_once,no,no,oxen;poultry,2,yes,no,cow_cart;lorry;motorcyle;sterio;cow_plough;solar_panel;mobile_phone,2,none,na,-19.04414887,33.40383602,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
34,Chirodzo,2016-11-17T00:00:00Z,18,8,18,mabatisloping,burntbricks,2,2,yes,Oct;Nov,yes,more_once,no,no,oxen;cows;goats,3,yes,no,television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Dec,rely_less_food;limit_variety;limit_portion;restrict_adults;lab_ex_food,-19.11219065,33.48341559,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
35,Chirodzo,2016-11-17T00:00:00Z,45,5,45,grass,muddaub,3,2,yes,Sept;Oct;Nov,yes,more_once,no,yes,oxen;cows,2,yes,no,bicycle;cow_plough,3,Jan;Sept;Oct;Nov;Dec,rely_less_food;limit_variety;limit_portion;reduce_meals;restrict_adults;go_forest,-19.11211362,33.48342515,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
36,Chirodzo,2016-11-17T00:00:00Z,23,6,23,mabatisloping,sunbricks,1,3,yes,NULL,yes,once,yes,yes,oxen;cows;pigs,3,no,no,cow_cart;bicycle;radio;cow_plough;solar_panel;mobile_phone,3,none,na,-19.11218058,33.4833843,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
37,Chirodzo,2016-11-17T00:00:00Z,8,3,8,mabatisloping,burntbricks,3,1,no,NULL,NULL,NULL,no,no,oxen;cows,2,yes,no,bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,Jan;Nov;Dec,rely_less_food;limit_variety;lab_ex_food,-19.11217951,33.48339525,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
38,God,2016-11-17T00:00:00Z,19,10,19,grass,muddaub,3,2,yes,Sept;Oct,yes,never,no,yes,oxen;cows;goats,3,yes,yes,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Nov,limit_variety;lab_ex_food,-19.11222939,33.48337467,uuid:81309594-ff58-4dc1-83a7-72af5952ee08
39,God,2016-11-17T00:00:00Z,22,6,22,mabatisloping,muddaub,1,1,no,NULL,NULL,NULL,no,no,oxen,1,yes,no,NULL,3,Nov,lab_ex_food,-19.0433618,33.4046671,uuid:c0fb6310-55af-4831-ae3d-2729556c3285
40,God,2016-11-17T00:00:00Z,23,9,23,grass,burntbricks,1,2,yes,Sept;Oct,yes,never,no,no,oxen,1,yes,no,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Sept;Oct;Nov,lab_ex_food,-19.0433618,33.4046671,uuid:c0b34854-eede-4e81-b183-ef58a45bfc34
41,God,2016-11-17T00:00:00Z,22,7,22,grass,muddaub,1,1,no,NULL,NULL,NULL,no,no,oxen;poultry,2,no,no,motorcyle;bicycle;radio;cow_plough;table,3,Oct;Nov,limit_portion;reduce_meals,-19.04339398,33.40485363,uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5
42,God,2016-11-17T00:00:00Z,8,8,8,grass,sunbricks,1,2,yes,Aug;Sept,no,never,no,no,cows;goats;poultry,3,yes,no,mobile_phone,3,Jan;Nov;Dec,rely_less_food;limit_variety;reduce_meals,-19.04346041,33.40484617,uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64
43,Chirodzo,2016-11-17T00:00:00Z,3,7,29,grass,muddaub,2,4,yes,NULL,no,never,yes,no,oxen;cows,2,no,no,cow_plough;mobile_phone,2,Jan;Feb;Oct;Nov;Dec,lab_ex_food,-19.04303063,33.40472726,uuid:b4dff49f-ef27-40e5-a9d1-acf287b47358
44,Chirodzo,2016-11-17T00:00:00Z,3,2,6,grass,muddaub,2,1,no,NULL,NULL,NULL,yes,no,oxen;cows;poultry,3,yes,no,radio;solar_torch,2,Jan;Dec,borrow_food,-19.04315107,33.40458039,uuid:f9fadf44-d040-4fca-86c1-2835f79c4952
45,Chirodzo,2016-11-17T00:00:00Z,25,9,7,grass,muddaub,2,3,yes,Sept;Oct,no,never,yes,no,oxen;cows;goats;poultry,4,no,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,none,na,-19.04312371,33.40466493,uuid:e3554d22-35b1-4fb9-b386-dd5866ad5792
46,Chirodzo,2016-11-17T00:00:00Z,21,10,42,mabatisloping,burntbricks,3,5,yes,Aug;Sept;Oct,no,once,yes,no,oxen;poultry,2,no,no,motorcyle;computer;television;sterio;solar_panel;solar_torch;table;mobile_phone,2,Sept;Oct;Nov,lab_ex_food,-19.04307032,33.40458421,uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37
47,Chirodzo,2016-11-17T00:00:00Z,2,2,2,grass,muddaub,1,2,yes,Sept;Oct;Nov,yes,once,no,no,none,1,no,no,solar_torch;mobile_phone,3,none,na,-19.11226093,33.48339791,uuid:2d0b1936-4f82-4ec3-a3b5-7c3c8cd6cc2b
48,Chirodzo,2016-11-16T00:00:00Z,48,7,58,grass,muddaub,1,1,no,NULL,NULL,NULL,no,no,oxen;cows;poultry,3,yes,no,radio,3,June;July;Aug;Sept;Oct;Nov,limit_variety,-19.11222978,33.48353345,uuid:e180899c-7614-49eb-a97c-40ed013a38a2
49,Chirodzo,2016-11-16T00:00:00Z,12,6,26,mabatisloping,burntbricks,2,1,no,NULL,NULL,NULL,no,yes,goats;poultry,2,yes,no,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Nov;Dec,reduce_meals;go_forest;lab_ex_food,-19.11228265,33.48334844,uuid:2303ebc1-2b3c-475a-8916-b322ebf18440
50,Chirodzo,2016-11-16T00:00:00Z,6,6,7,grass,muddaub,1,1,yes,Sept;Oct,yes,never,yes,no,poultry,1,yes,no,solar_torch,2,June;July;Aug;Sept;Oct;Nov;Dec,borrow_food;go_forest;lab_ex_food,-19.11220496,33.48344521,uuid:4267c33c-53a7-46d9-8bd6-b96f58a4f92c
51,Chirodzo,2016-11-16T00:00:00Z,11,5,30,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,poultry,1,no,no,radio,3,Oct;Nov,go_forest;lab_ex_food,-19.11221446,33.48338443,uuid:18ac8e77-bdaf-47ab-85a2-e4c947c9d3ce
52,Chirodzo,2016-11-16T00:00:00Z,15,11,15,mabatisloping,burntbricks,1,1,yes,Sept;Oct;Nov,no,never,no,no,oxen;cows;poultry,3,yes,no,motorcyle;television;radio;cow_plough;solar_panel;mobile_phone,3,Aug;Sept;Oct;Nov,limit_variety;reduce_meals,-19.11223637,33.48335287,uuid:6db55cb4-a853-4000-9555-757b7fae2bcf
21,Chirodzo,2016-11-16T00:00:00Z,16,8,16,mabatisloping,burntbricks,2,3,yes,Aug;Sept;Oct,yes,frequently,no,no,oxen;goats,2,yes,no,bicycle;radio;mobile_phone,2,Nov,rely_less_food;limit_portion,-19.11216571,33.48343865,uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12
54,Chirodzo,2016-11-16T00:00:00Z,10,7,15,grass,muddaub,3,1,yes,Aug;Sept;Oct;Nov;Dec,no,never,no,no,none,1,yes,no,NULL,2,Sept;Oct;Nov,rely_less_food;lab_ex_food,-19.11220247,33.48335527,uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919
55,Chirodzo,2016-11-16T00:00:00Z,23,9,23,grass,muddaub,2,1,no,NULL,NULL,NULL,no,no,goats,1,yes,no,television;cow_plough;mobile_phone,2,Oct;Nov,lab_ex_food,-19.11228974,33.48333393,uuid:883c0433-9891-4121-bc63-744f082c1fa0
56,Chirodzo,2016-11-16T00:00:00Z,23,12,23,mabatisloping,burntbricks,4,2,yes,Sept;Oct,yes,never,no,no,oxen;goats,2,yes,no,motorcyle;bicycle;mobile_phone,3,none,na,-19.11217264,33.48341837,uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76
57,Chirodzo,2016-11-16T00:00:00Z,20,4,27,grass,burntbricks,4,2,yes,NULL,no,never,no,no,none,1,no,no,radio,2,none,na,-19.11227947,33.48338576,uuid:a7184e55-0615-492d-9835-8f44f3b03a71
58,Chirodzo,2016-11-16T00:00:00Z,35,11,45,mabatisloping,burntbricks,5,3,yes,NULL,no,never,no,no,oxen;cows;goats,3,no,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,2,none,na,-19.1121758,33.48332076,uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca
59,Chirodzo,2016-11-16T00:00:00Z,60,2,60,grass,muddaub,1,2,no,NULL,NULL,NULL,no,no,oxen;cows;poultry,3,no,no,NULL,2,none,na,-19.1123395,33.48333251,uuid:1936db62-5732-45dc-98ff-9b3ac7a22518
60,Chirodzo,2016-11-16T00:00:00Z,12,8,15,grass,burntbricks,3,3,yes,Aug;Sept;Oct,no,never,yes,yes,oxen;cows;goats;poultry,4,yes,no,cow_plough,2,none,na,-19.11225763,33.48341208,uuid:85465caf-23e4-4283-bb72-a0ef30e30176
61,Chirodzo,2016-11-16T00:00:00Z,14,10,14,grass,muddaub,4,2,yes,Aug;Sept;Oct,yes,more_once,yes,no,oxen;cows;goats,3,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;table;mobile_phone,3,Jan;Feb;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults,-19.11218035,33.48341635,uuid:2401cf50-8859-44d9-bd14-1bf9128766f2
62,Chirodzo,2016-11-16T00:00:00Z,5,5,5,grass,muddaub,3,2,no,NULL,NULL,NULL,no,yes,none,1,no,no,bicycle;radio;mobile_phone,3,Aug;Sept;Oct;Nov,rely_less_food;limit_variety;limit_portion;reduce_meals;restrict_adults;borrow_food;go_forest;lab_ex_food,-19.11216869,33.48339699,uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6
63,Chirodzo,2016-11-16T00:00:00Z,1,4,10,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,none,1,no,no,NULL,3,Jan;Oct;Nov;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults,-19.11220024,33.4833903,uuid:86ed4328-7688-462f-aac7-d6518414526a
64,Chirodzo,2016-11-16T00:00:00Z,1,6,1,grass,muddaub,2,2,no,NULL,NULL,NULL,no,no,goats,1,yes,no,bicycle;solar_torch;table;sofa_set;mobile_phone,3,Jan;Feb;Dec,rely_less_food;limit_variety;reduce_meals;restrict_adults;lab_ex_food,-19.1121962,33.48339576,uuid:28cfd718-bf62-4d90-8100-55fafbe45d06
65,Chirodzo,2016-11-16T00:00:00Z,20,8,20,mabatisloping,burntbricks,2,2,yes,Sept;Oct;Nov,no,once,no,no,oxen;cows;goats,3,yes,no,motorcyle;radio;cow_plough;table,3,Jan;Feb;Mar,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.11221474,33.48341209,uuid:143f7478-0126-4fbc-86e0-5d324339206b
66,Chirodzo,2016-11-16T00:00:00Z,16,10,37,mabatipitched,burntbricks,5,1,yes,Aug;Sept;Oct,yes,frequently,yes,no,oxen;cows;goats;donkeys,4,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,na,-19.1121722,33.48339142,uuid:a457eab8-971b-4417-a971-2e55b8702816
