Column1,A01_interview_date,A03_quest_no,A04_start,A05_end,A06_province,A07_district,A08_ward,A09_village,A11_years_farm,A12_agr_assoc,B11_remittance_money,B16_years_liv,B17_parents_liv,B18_sp_parents_liv,B19_grand_liv,B20_sp_grand_liv,B_no_membrs,C01_respondent_roof_type,C02_respondent_wall_type,C02_respondent_wall_type_other,C03_respondent_floor_type,C04_window_type,C05_buildings_in_compound,C06_rooms,C07_other_buildings,D_plots_count,E01_water_use,E17_no_enough_water,E19_period_use,E20_exper_other,E21_other_meth,E23_memb_assoc,E24_resp_assoc,E25_fees_water,E26_affect_conflicts,E_no_group_count,E_yes_group_count,F04_need_money,F05_money_source_other,F06_crops_contr,F08_emply_lab,F09_du_labour,F10_liv_owned_other,F12_poultry,F13_du_look_aftr_cows,F_liv_count,G01_no_meals,_members_count,_note,gps:Accuracy,gps:Altitude,gps:Latitude,gps:Longitude,instanceID
0,17/11/2016,1,2017-03-23T09:49:57.000Z,2017-04-02T17:29:08.000Z,Province1,District1,Ward2,Village2,11,no,no,4,no,yes,no,yes,3,grass,muddaub,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,1,2,3,,14,698,-19.11225943,33.48345609,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,17/11/2016,1,2017-04-02T09:48:16.000Z,2017-04-02T17:26:19.000Z,Province1,District1,Ward2,Village2,2,yes,no,9,yes,yes,yes,yes,7,grass,muddaub,,earth,no,1,1,no,3,yes,yes,2,yes,no,yes,no,no,once,,3,no,,more_half,yes,no,,yes,no,3,2,7,,19,690,-19.11247712,33.48341568,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
2,17/11/2016,3,2017-04-02T14:35:26.000Z,2017-04-02T17:26:53.000Z,Province1,District1,Ward2,Village2,40,no,no,15,no,no,no,no,10,mabatisloping,burntbricks,,cement,yes,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,2,10,,13,674,-19.1121076,33.48344998,uuid:193d7daf-9582-409b-bf09-027dd36f9007
3,17/11/2016,4,2017-04-02T14:55:18.000Z,2017-04-02T17:27:16.000Z,Province1,District1,Ward2,Village2,6,no,no,6,no,no,no,no,7,mabatisloping,burntbricks,,earth,no,1,1,no,3,no,,,,,,,,,3,,,,,no,yes,,yes,no,2,2,7,,5,679,-19.11222901,33.48342395,uuid:148d1105-778a-4755-aa71-281eadd4a973
4,17/11/2016,5,2017-04-02T15:10:35.000Z,2017-04-02T17:27:35.000Z,Province1,District1,Ward2,Village2,18,no,no,40,yes,no,yes,no,7,grass,burntbricks,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,4,2,7,,10,689,-19.11221722,33.48342524,uuid:2c867811-9696-4966-9866-f35c3e97d02d
5,17/11/2016,6,2017-04-02T15:27:25.000Z,2017-04-02T17:28:02.000Z,Province1,District1,Ward2,Village2,3,no,no,3,no,no,no,no,3,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,2,3,,12,692,-19.1121959,33.48339187,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
6,17/11/2016,7,2017-04-02T15:38:01.000Z,2017-04-02T17:28:19.000Z,Province1,District1,Ward2,Village2,20,no,no,38,yes,no,yes,no,6,grass,muddaub,,earth,no,1,1,yes,4,yes,yes,10,yes,no,no,,no,never,,4,no,,more_half,no,no,,no,no,1,3,6,,11,709,-19.11221904,33.48336498,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
7,16/11/2016,8,2017-04-02T15:59:52.000Z,2017-04-02T17:28:39.000Z,Province1,District1,Ward1,Village3,16,yes,no,70,yes,yes,yes,yes,12,mabatisloping,burntbricks,,cement,no,2,3,yes,2,yes,yes,10,yes,no,yes,yes,no,never,,2,no,,abt_half,yes,no,,yes,no,2,2,12,,9,700,-19.11215963,33.48341914,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
8,16/11/2016,9,2017-04-02T16:23:36.000Z,2017-04-02T16:42:08.000Z,Province1,District1,Ward2,Village3,16,no,no,6,yes,no,yes,no,8,grass,burntbricks,,earth,no,2,1,yes,3,yes,yes,6,yes,no,no,,no,never,,3,no,,more_half,yes,yes,,yes,no,3,3,8,,11,701,-19.11221518,33.48343695,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
9,16/12/2016,10,2017-04-02T17:03:28.000Z,2017-04-02T17:25:11.000Z,Province1,District1,Ward2,Village3,22,no,no,23,no,no,no,no,12,mabatisloping,burntbricks,,cement,yes,1,5,no,2,yes,yes,22,yes,no,no,,no,never,,2,no,,more_half,yes,no,,yes,no,2,3,12,,14,710,-19.1122147,33.48339436,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
10,21/11/2016,11,2017-04-03T03:16:15.000Z,2017-04-03T03:31:10.000Z,Province1,District1,Ward2,Village2,6,no,no,20,yes,yes,no,yes,6,grass,sunbricks,,earth,no,2,1,no,2,no,,,,,,,,,2,,,,,no,yes,,no,no,2,2,6,,10,707,-19.11219126,33.48345933,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
11,21/11/2016,12,2017-04-03T03:31:13.000Z,2017-04-03T03:58:34.000Z,Province1,District1,Ward2,Village2,20,no,yes,20,no,no,no,no,7,mabatisloping,burntbricks,,cement,no,2,3,no,2,yes,yes,20,yes,no,yes,no,no,never,,2,no,,more_half,no,no,,yes,no,2,3,7,,13,696,-19.11229465,33.48341504,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
12,21/11/2016,13,2017-04-03T03:58:43.000Z,2017-04-03T04:19:36.000Z,Province1,District1,Ward2,Village2,7,yes,no,8,yes,no,yes,no,6,grass,burntbricks,,earth,no,1,1,no,4,yes,yes,7,yes,no,no,,no,never,,4,no,,more_half,yes,no,,yes,no,3,2,6,,15,706,-19.11236935,33.48355635,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
13,21/11/2016,14,2017-04-03T04:19:57.000Z,2017-04-03T04:50:05.000Z,Province1,District1,Ward2,Village2,20,yes,no,20,yes,yes,no,yes,10,grass,burntbricks,,earth,no,3,3,no,3,no,,,,,,,,,3,,,,,yes,yes,,yes,no,3,3,10,,11,698,-19.11222089,33.4834388,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
14,21/11/2016,15,2017-04-03T05:12:17.000Z,2017-04-03T05:28:44.000Z,Province1,District1,Ward2,Village2,30,yes,no,30,yes,yes,yes,yes,5,grass,sunbricks,,earth,no,1,2,yes,3,yes,yes,30,yes,no,yes,no,no,once,,3,no,,abt_half,no,no,,yes,no,3,2,5,,9,715,-19.1120793,33.48339657,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
15,24/11/2016,16,2017-04-03T05:29:24.000Z,2017-04-03T05:40:53.000Z,Province1,District1,Ward2,Village2,24,yes,no,47,yes,yes,yes,yes,6,grass,muddaub,,earth,yes,2,1,yes,1,no,,,,,,,,,1,,,,,yes,yes,,no,no,4,3,6,,9,709,-19.11210678,33.48344397,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
16,21/11/2016,17,2017-04-03T05:41:42.000Z,2017-04-03T05:57:57.000Z,Province1,District1,Ward2,Village2,10,yes,no,20,no,no,no,no,8,grass,sunbricks,,earth,no,2,1,no,3,no,,,,,,,,,3,,,,,no,yes,,no,yes,1,2,8,,10,710,-19.11218314,33.48346325,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
17,21/11/2016,18,2017-04-03T12:27:04.000Z,2017-04-03T12:39:48.000Z,Province1,District1,Ward2,Village2,6,no,no,20,yes,yes,no,yes,4,grass,muddaub,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,yes,,yes,no,3,2,4,,17,685,-19.11133515,33.47630848,uuid:7ffe7bd1-a15c-420c-a137-e1f006c317a3
18,21/11/2016,19,2017-04-03T12:40:14.000Z,2017-04-03T12:53:29.000Z,Province1,District1,Ward2,Village2,20,yes,no,23,yes,yes,yes,yes,9,mabatisloping,burntbricks,,earth,no,1,2,yes,2,no,,,,,,,,,2,,,,,yes,yes,,yes,no,2,3,9,,30,716,-19.11142642,33.47640837,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
19,21/11/2016,20,2017-04-03T14:04:50.000Z,2017-04-03T14:20:04.000Z,Province1,District1,Ward2,Village2,24,yes,no,1,yes,yes,yes,yes,6,grass,burntbricks,,earth,yes,1,1,no,2,no,,,,,,,,,2,,,,,no,yes,,yes,yes,1,2,6,,27,700,-19.11147317,33.47619213,uuid:d1005274-bf52-4e79-8380-3350dd7c2bac
20,21/11/2016,21,2017-04-03T14:24:58.000Z,2017-04-03T14:44:39.000Z,Province1,District1,Ward2,Village2,20,yes,no,20,no,yes,no,yes,8,mabatisloping,burntbricks,,cement,no,1,1,no,4,yes,yes,20,yes,no,no,,no,never,,4,no,,less_half,no,yes,,yes,no,3,2,8,,20,707,-19.11155014,33.47623134,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
21,21/11/2016,22,2017-04-03T16:28:52.000Z,2017-04-03T16:40:47.000Z,Province1,District1,Ward2,Village2,14,no,no,20,yes,yes,yes,yes,4,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,2,4,,9,722,-19.11212691,33.48350764,uuid:a51c3006-8847-46ff-9d4e-d29919b8ecf9
22,21/11/2016,23,2017-04-03T16:41:04.000Z,2017-04-03T17:04:28.000Z,Province1,District1,Ward2,Village1,12,yes,no,20,no,no,no,no,10,mabatisloping,burntbricks,,cement,yes,1,4,yes,2,no,,,,,,,,,2,,,,,yes,no,,yes,no,3,3,10,,10,699,-19.11219352,33.4833833,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
23,21/11/2016,24,2017-04-03T17:19:49.000Z,2017-04-03T17:43:01.000Z,Province1,District1,Ward2,Village1,8,no,no,4,no,no,no,no,6,mabatisloping,burntbricks,,cement,yes,2,2,yes,3,yes,yes,8,yes,no,no,,no,never,,3,no,,less_half,yes,no,,no,no,3,2,6,,11,745,-19.11218803,33.48343475,uuid:661457d3-7e61-45e8-a238-7415e7548f82
24,21/11/2016,25,2017-04-04T04:01:58.000Z,2017-04-04T04:29:47.000Z,Province1,District1,Ward2,Village1,10,yes,no,6,no,no,no,no,11,mabatisloping,burntbricks,,cement,no,2,3,yes,3,yes,yes,10,yes,no,no,,no,never,,3,yes,,more_half,yes,no,,yes,no,2,2,11,,11,698,-19.11223416,33.4834841,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
25,21/11/2016,26,2017-04-04T04:30:19.000Z,2017-04-04T04:44:19.000Z,Province1,District1,Ward2,Village1,2,yes,no,20,yes,yes,yes,yes,3,mabatisloping,burntbricks,,earth,no,2,2,no,2,yes,yes,2,yes,no,no,,no,never,,2,no,,abt_half,yes,yes,,yes,no,2,2,3,,12,706,-19.11230411,33.48354341,uuid:1c54ee24-22c4-4ee9-b1ad-42d483c08e2e
26,21/11/2016,27,2017-04-05T04:59:42.000Z,2017-04-05T05:14:45.000Z,Province1,District1,Ward2,Village1,36,no,no,36,no,no,no,no,7,grass,burntbricks,,earth,no,3,2,yes,2,no,,,,,,,,,2,,,,,no,no,,yes,no,3,3,7,,14,679,-19.0430007,33.40508367,uuid:3197cded-1fdc-4c0c-9b10-cfcc0bf49c4d
27,21/11/2016,28,2017-04-05T05:14:49.000Z,2017-04-05T05:36:18.000Z,Province1,District1,Ward2,Village1,2,no,no,2,no,no,no,no,2,grass,muddaub,,earth,no,1,1,yes,3,yes,yes,2,yes,no,no,,no,more_once,,3,no,,more_half,no,yes,,yes,no,1,3,2,,7,721,-19.04290893,33.40506932,uuid:1de53318-a8cf-4736-99b1-8239f8822473
28,21/11/2016,29,2017-04-05T05:37:30.000Z,2017-04-05T06:05:44.000Z,Province1,District1,Ward2,Village1,10,yes,no,10,yes,no,yes,no,7,mabatisloping,burntbricks,,earth,no,1,2,yes,3,yes,yes,4,yes,yes,yes,yes,no,frequently,,3,no,,more_half,no,no,,yes,no,1,3,7,,6,657,-19.04302413,33.40507276,uuid:adcd7463-8943-4c67-b25f-f72311409476
29,21/11/2016,30,2017-04-05T06:05:58.000Z,2017-04-05T06:20:39.000Z,Province1,District1,Ward2,Village1,22,yes,yes,22,no,no,no,no,7,grass,muddaub,,earth,no,1,2,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,2,7,,5,669,-19.04300478,33.40505449,uuid:59341ead-92be-45a9-8545-6edf9f94fdc6
30,21/11/2016,31,2017-04-05T06:21:20.000Z,2017-04-05T06:38:26.000Z,Province1,District1,Ward2,Village1,15,yes,no,2,yes,yes,yes,yes,3,grass,muddaub,,earth,no,7,1,no,1,no,,,,,,,,,1,,,,,no,no,,no,no,1,3,3,,4,704,-19.04302176,33.40509382,uuid:cb06eb49-dd39-4150-8bbe-a599e074afe8
31,21/11/2016,32,2017-04-05T06:38:55.000Z,2017-04-05T08:05:32.000Z,Province1,District1,Ward2,Village1,53,yes,yes,69,yes,yes,yes,no,19,mabatipitched,muddaub,,earth,no,8,2,yes,8,yes,yes,45,yes,no,yes,no,no,more_once,,8,yes,,more_half,yes,yes,,yes,no,5,2,19,,8,703,-19.04411399,33.40390565,uuid:25597af3-cd79-449c-a48a-fb9aea6c48bf
32,21/11/2016,33,2017-04-05T08:08:19.000Z,2017-04-05T08:25:48.000Z,Province1,District1,Ward2,Village1,20,yes,no,34,yes,yes,yes,yes,8,grass,muddaub,,cement,no,2,1,no,2,yes,yes,20,yes,no,no,,no,more_once,,2,no,,more_half,no,no,,yes,no,2,2,8,,5,695,-19.04414887,33.40383602,uuid:0fbd2df1-2640-4550-9fbd-7317feaa4758
33,17/11/2016,34,2017-04-05T16:00:47.000Z,2017-04-05T16:21:59.000Z,Province1,District1,Ward2,Village3,18,yes,no,18,no,no,no,no,8,mabatisloping,burntbricks,,cement,yes,2,3,yes,2,yes,yes,2,yes,no,yes,no,no,more_once,,2,no,,more_half,no,no,,yes,no,3,2,8,,11,706,-19.11219065,33.48341559,uuid:14c78c45-a7cc-4b2a-b765-17c82b43feb4
34,17/11/2016,35,2017-04-05T16:22:13.000Z,2017-04-05T16:50:25.000Z,Province1,District1,Ward2,Village3,45,yes,no,45,no,no,no,no,5,grass,muddaub,,earth,no,3,1,no,2,yes,yes,20,yes,no,yes,no,no,more_once,,2,no,,more_half,no,yes,,yes,no,2,3,5,,11,733,-19.11211362,33.48342515,uuid:ff7496e7-984a-47d3-a8a1-13618b5683ce
35,17/11/2016,36,2017-04-05T16:50:48.000Z,2017-04-05T17:10:53.000Z,Province1,District1,Ward2,Village3,23,yes,no,23,no,no,no,no,6,mabatisloping,sunbricks,,earth,no,1,1,no,3,yes,no,23,yes,no,yes,no,no,once,,3,no,,abt_half,yes,yes,,no,no,3,3,6,,10,710,-19.11218058,33.4833843,uuid:c90eade0-1148-4a12-8c0e-6387a36f45b1
36,17/11/2016,37,2017-04-05T17:17:48.000Z,2017-04-05T17:26:51.000Z,Province1,District1,Ward2,Village3,8,no,no,8,yes,yes,no,no,3,mabatisloping,burntbricks,,earth,no,3,1,no,1,no,,,,,,,,,1,,,,,no,no,,yes,no,2,3,3,,12,711,-19.11217951,33.48339525,uuid:408c6c93-d723-45ef-8dee-1b1bd3fe20cd
37,17/11/2016,38,2017-04-05T17:28:12.000Z,2017-04-05T17:50:57.000Z,Province1,District1,Ward2,Village2,19,yes,yes,19,no,no,no,no,10,grass,muddaub,,earth,no,3,1,no,2,yes,yes,9,yes,no,yes,no,no,never,,2,no,,more_half,no,yes,,yes,yes,3,3,10,,9,696,-19.11222939,33.48337467,uuid:81309594-ff58-4dc1-83a7-72af5952ee08
38,17/11/2016,39,2017-04-06T08:31:17.000Z,2017-04-06T08:44:47.000Z,Province1,District1,Ward2,Village2,22,yes,no,22,yes,yes,yes,yes,6,mabatisloping,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,no,,yes,no,1,3,6,,20,0,-19.0433618,33.4046671,uuid:c0fb6310-55af-4831-ae3d-2729556c3285
39,17/11/2016,40,2017-04-06T08:44:51.000Z,2017-04-06T09:03:47.000Z,Province1,District1,Ward2,Village2,23,yes,yes,23,no,yes,yes,yes,9,grass,burntbricks,,earth,no,1,1,no,2,yes,yes,23,yes,no,yes,no,no,never,,2,no,,more_half,no,no,,yes,no,1,3,9,,22.112,0,-19.0433618,33.4046671,uuid:c0b34854-eede-4e81-b183-ef58a45bfc34
40,17/11/2016,41,2017-04-06T09:03:50.000Z,2017-04-06T09:14:05.000Z,Province1,District1,Ward2,Village2,22,yes,no,22,yes,yes,yes,yes,7,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,no,,no,no,2,3,7,,13,679,-19.04339398,33.40485363,uuid:b3ba34d8-eea1-453d-bc73-c141bcbbc5e5
41,17/11/2016,42,2017-04-06T09:14:22.000Z,2017-04-06T09:30:54.000Z,Province1,District1,Ward2,Village2,8,yes,no,8,no,no,no,no,8,grass,sunbricks,,earth,yes,1,1,no,2,yes,yes,5,yes,no,no,,no,never,,2,no,,less_half,no,no,,yes,no,3,3,8,,10,699,-19.04346041,33.40484617,uuid:e3a1dd8a-1bda-428c-a014-2b527f11ae64
42,17/11/2016,43,2017-04-06T09:31:56.000Z,2017-04-06T09:53:53.000Z,Province1,District1,Ward2,Village3,3,no,no,29,no,no,no,no,7,grass,muddaub,,earth,no,2,1,no,4,yes,no,3,yes,no,no,,no,never,,4,no,,abt_half,yes,no,,no,no,2,2,7,,30,605,-19.04303063,33.40472726,uuid:b4dff49f-ef27-40e5-a9d1-acf287b47358
43,17/11/2016,44,2017-04-06T14:44:32.000Z,2017-04-06T14:53:01.000Z,Province1,District1,Ward2,Village3,3,no,no,6,no,no,no,no,2,grass,muddaub,,earth,no,2,1,no,1,no,,,,,,,,,1,,,,,yes,no,,yes,no,3,2,2,,11,716,-19.04315107,33.40458039,uuid:f9fadf44-d040-4fca-86c1-2835f79c4952
44,17/11/2016,45,2017-04-06T14:53:04.000Z,2017-04-06T15:11:57.000Z,Province1,District1,Ward2,Village3,25,yes,no,7,no,no,no,no,9,grass,muddaub,,earth,no,2,1,no,3,yes,yes,20,yes,no,no,,no,never,,3,yes,,more_half,yes,no,,no,no,4,3,9,,28,703,-19.04312371,33.40466493,uuid:e3554d22-35b1-4fb9-b386-dd5866ad5792
45,17/11/2016,46,2017-04-06T15:19:41.000Z,2017-04-06T15:45:32.000Z,Province1,District1,Ward2,Village3,21,yes,no,42,yes,yes,yes,yes,10,mabatisloping,burntbricks,,cement,no,3,2,no,5,yes,yes,21,yes,no,no,,no,once,,5,no,,more_half,yes,no,,no,no,2,2,10,,5,703,-19.04307032,33.40458421,uuid:35f297e0-aa5d-4149-9b7b-4965004cfc37
46,17/11/2016,47,2017-04-07T14:05:25.000Z,2017-04-07T14:19:45.000Z,Province1,District1,Ward2,Village3,2,yes,no,2,yes,yes,yes,yes,2,grass,muddaub,,earth,no,1,1,yes,2,yes,yes,2,yes,no,yes,no,no,once,,2,no,,more_half,no,no,,no,no,1,3,2,,5,689,-19.11226093,33.48339791,uuid:2d0b1936-4f82-4ec3-a3b5-7c3c8cd6cc2b
47,16/11/2016,48,2017-04-07T14:19:49.000Z,2017-04-07T14:40:23.000Z,Province1,District1,Ward2,Village3,48,yes,no,58,yes,no,yes,no,7,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,no,,yes,no,3,3,7,,12,689,-19.11222978,33.48353345,uuid:e180899c-7614-49eb-a97c-40ed013a38a2
48,16/11/2016,49,2017-04-07T14:43:09.000Z,2017-04-07T14:55:51.000Z,Province1,District1,Ward2,Villagez,12,no,no,26,yes,yes,yes,yes,6,mabatisloping,burntbricks,,earth,yes,2,2,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,2,3,6,,12,694,-19.11228265,33.48334844,uuid:2303ebc1-2b3c-475a-8916-b322ebf18440
49,16/11/2016,50,2017-04-07T14:56:01.000Z,2017-04-07T15:26:23.000Z,Province1,District1,Ward2,Village3,6,yes,no,7,no,no,no,no,6,grass,muddaub,,earth,no,1,1,no,1,yes,yes,1,no,no,yes,no,no,never,,1,no,,abt_half,yes,no,,yes,no,1,2,6,,12,718,-19.11220496,33.48344521,uuid:4267c33c-53a7-46d9-8bd6-b96f58a4f92c
50,16/11/2016,51,2017-04-07T15:27:45.000Z,2017-04-07T15:39:10.000Z,Province1,District1,Ward2,Village3,11,yes,no,30,yes,no,yes,no,5,grass,muddaub,,cement,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,3,5,,12,709,-19.11221446,33.48338443,uuid:18ac8e77-bdaf-47ab-85a2-e4c947c9d3ce
51,16/11/2016,52,2017-04-08T04:44:09.000Z,2017-04-08T05:02:58.000Z,Province1,District1,Ward2,Village3,15,yes,no,15,no,no,no,no,11,mabatisloping,burntbricks,,cement,yes,1,3,yes,1,yes,yes,15,no,no,no,,no,never,,1,no,,less_half,no,no,,yes,no,3,3,11,,10,694,-19.11223637,33.48335287,uuid:6db55cb4-a853-4000-9555-757b7fae2bcf
52,16/11/2016,21,2017-04-08T05:03:08.000Z,2017-04-08T05:33:51.000Z,Province1,District1,Ward2,Village3,16,yes,yes,16,yes,yes,yes,yes,8,mabatisloping,burntbricks,,cement,no,2,3,no,3,yes,yes,16,yes,no,yes,no,no,frequently,,3,no,,more_half,no,no,,yes,no,2,2,8,,10,687,-19.11216571,33.48343865,uuid:cc7f75c5-d13e-43f3-97e5-4f4c03cb4b12
53,16/11/2016,54,2017-04-08T05:36:55.000Z,2017-04-08T05:52:15.000Z,Province1,District1,Ward2,Village3,10,no,yes,15,yes,no,yes,no,7,grass,muddaub,,earth,no,3,1,no,1,yes,yes,10,yes,no,no,,no,never,,1,no,,more_half,no,no,,yes,no,1,2,7,,9,681,-19.11220247,33.48335527,uuid:273ab27f-9be3-4f3b-83c9-d3e1592de919
54,16/11/2016,55,2017-04-08T05:52:32.000Z,2017-04-08T06:05:41.000Z,Province1,District1,Ward2,Village3,23,yes,no,23,yes,no,yes,no,9,grass,muddaub,,earth,no,2,2,no,1,no,,,,,,,,,1,,,,,no,no,,yes,no,1,2,9,,11,702,-19.11228974,33.48333393,uuid:883c0433-9891-4121-bc63-744f082c1fa0
55,16/11/2016,56,2017-04-08T06:05:59.000Z,2017-04-08T06:26:12.000Z,Province1,District1,Ward2,Village3,23,yes,no,23,yes,yes,yes,yes,12,mabatisloping,burntbricks,,cement,no,4,2,no,2,yes,yes,23,yes,no,yes,no,no,never,,2,no,,more_half,no,no,,yes,no,2,3,12,,10,689,-19.11217264,33.48341837,uuid:973c4ac6-f887-48e7-aeaf-4476f2cfab76
56,16/11/2016,57,2017-04-08T06:26:22.000Z,2017-04-08T06:39:40.000Z,Province1,District1,Ward2,Village3,20,yes,no,27,yes,yes,yes,yes,4,grass,burntbricks,,earth,no,4,1,no,2,yes,no,20,yes,no,no,,no,never,,2,no,,less_half,no,no,,no,no,1,2,4,,10,695,-19.11227947,33.48338576,uuid:a7184e55-0615-492d-9835-8f44f3b03a71
57,16/11/2016,58,2017-04-08T08:25:49.000Z,2017-04-08T08:48:51.000Z,Province1,District1,Ward2,Village3,35,yes,no,45,yes,yes,yes,yes,11,mabatisloping,burntbricks,,earth,no,5,3,no,3,yes,no,35,yes,no,no,,no,never,,3,no,,more_half,no,no,,no,no,3,2,11,,11,723,-19.1121758,33.48332076,uuid:a7a3451f-cd0d-4027-82d9-8dcd1234fcca
58,16/11/2016,59,2017-04-08T08:52:05.000Z,2017-04-08T09:02:34.000Z,Province1,District1,Ward2,Village3,60,no,no,60,yes,yes,yes,yes,2,grass,muddaub,,earth,no,1,3,yes,2,no,,,,,,,,,2,,,,,no,no,,no,no,3,2,2,,13,683,-19.1123395,33.48333251,uuid:1936db62-5732-45dc-98ff-9b3ac7a22518
59,16/11/2016,60,2017-04-08T09:03:01.000Z,2017-04-08T09:20:18.000Z,Province1,District2,Ward2,Village3,12,yes,no,15,yes,yes,yes,yes,8,grass,burntbricks,,earth,no,3,2,no,3,yes,yes,12,yes,no,no,,no,never,,3,no,,more_half,yes,yes,,yes,no,4,2,8,,11,694,-19.11225763,33.48341208,uuid:85465caf-23e4-4283-bb72-a0ef30e30176
60,16/11/2016,61,2017-04-08T10:47:11.000Z,2017-04-08T11:14:09.000Z,Province1,District1,Ward2,Village3,14,yes,no,14,no,yes,yes,yes,10,grass,muddaub,,earth,no,4,1,no,2,yes,yes,13,yes,no,yes,yes,no,more_once,,2,no,,more_half,yes,no,,yes,no,3,3,10,,13,712,-19.11218035,33.48341635,uuid:2401cf50-8859-44d9-bd14-1bf9128766f2
61,16/11/2016,62,2017-04-08T13:27:58.000Z,2017-04-08T13:41:21.000Z,Province1,District1,Ward2,Village3,5,no,no,5,yes,no,no,no,5,grass,muddaub,,earth,no,3,1,no,2,no,,,,,,,,,2,,,,,no,yes,,no,no,1,3,5,,18,719,-19.11216869,33.48339699,uuid:c6597ecc-cc2a-4c35-a6dc-e62c71b345d6
62,16/11/2016,63,2017-04-08T13:41:39.000Z,2017-04-08T13:52:07.000Z,Province1,District1,Ward2,Village3,1,yes,no,10,yes,yes,no,yes,4,grass,muddaub,,earth,no,1,1,yes,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,3,4,,25,702,-19.11220024,33.4833903,uuid:86ed4328-7688-462f-aac7-d6518414526a
63,16/11/2016,64,2017-04-08T13:52:30.000Z,2017-04-08T14:02:24.000Z,Province1,District1,Ward2,Village3,1,no,no,1,no,no,no,no,6,grass,muddaub,,earth,no,2,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,1,3,6,,9,704,-19.1121962,33.48339576,uuid:28cfd718-bf62-4d90-8100-55fafbe45d06
64,16/11/2016,65,2017-04-08T14:02:49.000Z,2017-04-08T14:15:45.000Z,Province1,District1,Ward2,Village3,20,no,no,20,no,no,no,no,8,mabatisloping,burntbricks,,earth,no,2,3,no,2,yes,yes,20,yes,no,no,,no,once,,2,no,,abt_half,no,no,,yes,no,3,3,8,,39,706,-19.11221474,33.48341209,uuid:143f7478-0126-4fbc-86e0-5d324339206b
