Column1,A01_interview_date,A03_quest_no,A04_start,A05_end,A06_province,A07_district,A08_ward,A09_village,A11_years_farm,A12_agr_assoc,B11_remittance_money,B16_years_liv,B17_parents_liv,B18_sp_parents_liv,B19_grand_liv,B20_sp_grand_liv,B_no_membrs,C01_respondent_roof_type,C02_respondent_wall_type,C02_respondent_wall_type_other,C03_respondent_floor_type,C04_window_type,C05_buildings_in_compound,C06_rooms,C07_other_buildings,D_plots_count,E01_water_use,E17_no_enough_water,E19_period_use,E20_exper_other,E21_other_meth,E23_memb_assoc,E24_resp_assoc,E25_fees_water,E26_affect_conflicts,E_no_group_count,E_yes_group_count,F04_need_money,F05_money_source_other,F06_crops_contr,F08_emply_lab,F09_du_labour,F10_liv_owned_other,F12_poultry,F13_du_look_aftr_cows,F_liv_count,G01_no_meals,_members_count,_note,gps:Accuracy,gps:Altitude,gps:Latitude,gps:Longitude,instanceID
65,16/11/2016,66,2017-04-08T21:09:38.000Z,2017-04-08T21:33:45.000Z,Province1,District1,Ward2,Village3,16,yes,no,37,yes,no,no,no,10,mabatipitched,burntbricks,,cement,yes,5,3,yes,1,yes,yes,10,no,no,yes,no,no,frequently,,1,no,,more_half,yes,no,,yes,no,4,3,10,,8,702,-19.1121722,33.48339142,uuid:a457eab8-971b-4417-a971-2e55b8702816
66,16/11/2016,67,2017-04-08T21:34:23.000Z,2017-04-08T21:49:02.000Z,Province1,District1,Ward2,Village3,9,yes,no,31,yes,no,yes,no,5,mabatipitched,burntbricks,,cement,yes,1,2,no,1,yes,yes,9,yes,no,no,,no,more_once,,1,no,,more_half,yes,yes,,yes,no,4,3,5,,11,717,-19.11209398,33.48338805,uuid:6c15d667-2860-47e3-a5e7-7f679271e419
67,16/11/2016,68,2017-04-08T21:49:40.000Z,2017-04-09T22:06:57.000Z,Province1,District1,Ward2,Village3,21,yes,no,52,yes,yes,no,no,8,mabatipitched,burntbricks,,earth,no,3,3,no,3,yes,yes,21,yes,no,no,,no,more_once,,3,no,,more_half,no,no,,yes,no,3,3,8,,10,710,-19.11214985,33.4834782,uuid:ef04b3eb-b47d-412e-9b09-4f5e08fc66f9
68,16/11/2016,69,2017-04-09T22:08:07.000Z,2017-04-09T22:21:08.000Z,Province1,District1,Ward2,Village3,12,yes,no,12,no,no,no,no,4,grass,muddaub,,earth,no,2,1,no,1,yes,yes,12,yes,no,no,,no,more_once,,1,no,,more_half,no,no,,yes,no,1,3,4,,8,708,-19.11216693,33.48340465,uuid:f86933a5-12b8-4427-b821-43c5b039401d
69,16/11/2016,70,2017-04-09T22:21:23.000Z,2017-04-09T22:40:57.000Z,Province1,District1,Ward2,Village3,20,yes,no,25,no,yes,no,no,8,mabatipitched,burntbricks,,earth,no,2,2,yes,3,yes,yes,20,yes,no,no,,no,more_once,,3,no,,more_half,no,yes,,no,no,4,2,8,,8,707,-19.11217415,33.48341471,uuid:1feb0108-4599-4bf9-8a07-1f5e66a50a0a
70,18/11/2016,71,2017-04-09T15:00:19.000Z,2017-04-09T15:19:22.000Z,Province1,District1,Ward2,Village1,12,yes,no,14,yes,yes,yes,yes,6,grass,burntbricks,,earth,no,1,1,no,2,yes,yes,1,yes,no,yes,no,no,more_once,,2,no,,more_half,no,yes,,no,no,3,2,6,,4,696,-19.11220603,33.48332601,uuid:761f9c49-ec93-4932-ba4c-cc7b78dfcef1
71,16/11/2016,127,2017-04-09T05:16:06.000Z,2017-04-09T05:27:41.000Z,Province1,District1,Ward2,Village3,10,yes,no,18,no,no,no,no,4,grass,burntbricks,,earth,no,3,8,no,1,no,,,,,,,,,1,,,,,no,no,,no,no,1,2,4,,8,676,-19.11221396,33.48341359,uuid:f6d04b41-b539-4e00-868a-0f62b427587d
72,23/11/2016,133,2017-04-09T05:27:46.000Z,2017-04-09T05:43:51.000Z,Province1,District1,Ward2,Village1,2,no,yes,25,no,no,no,no,5,mabatisloping,burntbricks,,earth,no,1,2,yes,1,yes,yes,2,yes,no,no,,no,never,,1,no,,abt_half,no,yes,,yes,no,5,3,5,,2099.999,0,-19.1041288,33.4777622,uuid:429d279a-a519-4dcc-9f64-4673b0fd5d53
73,24/11/2016,152,2017-04-09T05:47:31.000Z,2017-04-09T06:16:11.000Z,Province1,District1,Ward2,Village1,15,yes,no,16,yes,no,yes,no,10,grass,burntbricks,,cement,no,3,1,no,2,yes,yes,16,yes,no,yes,no,no,once,,2,no,,abt_half,no,no,,yes,yes,3,3,10,,11,702,-19.1121034,33.48344669,uuid:59738c17-1cda-49ee-a563-acd76f6bc487
74,24/11/2016,153,2017-04-09T06:16:49.000Z,2017-04-09T06:28:48.000Z,Province1,District1,Ward2,Village1,41,no,no,41,yes,yes,yes,yes,5,grass,burntbricks,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,2,5,,12,691,-19.11223572,33.48345393,uuid:7e7961ca-fa1c-4567-9bfa-a02f876e4e03
75,24/11/2016,155,2017-04-09T06:35:16.000Z,2017-04-09T06:48:01.000Z,Province1,District1,Ward2,Village2,5,no,no,4,no,no,no,no,4,grass,burntbricks,,earth,no,2,1,no,2,no,,,,,,,,,2,,,,,yes,no,,yes,no,1,2,4,,13,713,-19.11220708,33.48342364,uuid:77b3021b-a9d6-4276-aaeb-5bfcfd413852
76,25/11/2016,178,2017-04-09T06:54:49.000Z,2017-04-09T07:14:16.000Z,Province1,District1,Ward2,Village1,20,yes,no,79,yes,yes,yes,no,5,mabatisloping,burntbricks,,earth,no,1,2,yes,3,yes,yes,20,yes,no,yes,yes,no,frequently,,3,no,,abt_half,yes,yes,,no,no,3,3,5,,50,714,-19.1123581,33.48355586,uuid:2186e2ec-f65a-47cc-9bc1-a0f36dd9591c
77,25/11/2016,177,2017-04-09T07:59:49.000Z,2017-04-09T08:22:34.000Z,Province1,District1,Ward2,Village2,11,yes,no,13,no,no,no,no,10,grass,sunbricks,,earth,no,2,1,no,2,yes,yes,11,no,no,no,,no,more_once,,2,no,,more_half,yes,no,,yes,no,2,3,10,,9,713,-19.1120537,33.48349493,uuid:87998c33-c8d2-49ec-9dae-c123735957ec
78,25/11/2016,180,2017-04-09T08:23:05.000Z,2017-04-09T08:42:02.000Z,Province1,District1,Ward2,Village1,4,no,no,50,yes,yes,yes,yes,7,grass,muddaub,,earth,no,1,1,yes,2,yes,yes,4,yes,no,no,,no,never,,2,no,,abt_half,no,yes,,yes,no,3,3,7,,4,701,-19.11204921,33.48346659,uuid:ece89122-ea99-4378-b67e-a170127ec4e6
79,25/11/2016,181,2017-04-09T08:43:08.000Z,2017-04-09T09:07:48.000Z,Province1,District1,Ward2,Village2,20,yes,no,25,yes,no,yes,no,11,mabatipitched,sunbricks,,earth,yes,4,2,yes,1,yes,yes,23,yes,no,yes,no,no,more_once,,1,no,,more_half,no,no,,yes,no,3,3,11,,5,701,-19.11207501,33.48351086,uuid:bf373763-dca5-4906-901b-d1bacb4f0286
80,25/11/2016,182,2017-04-09T09:08:04.000Z,2017-04-09T09:34:12.000Z,Province1,District1,Ward2,Village2,20,no,no,21,no,no,no,no,7,mabatipitched,muddaub,,earth,no,2,3,yes,1,yes,yes,20,yes,no,no,,no,more_once,,1,no,,more_half,no,no,,yes,no,2,3,7,,4,694,-19.11204151,33.48345447,uuid:394033e8-a6e2-4e39-bfac-458753a1ed78
81,28/11/2016,186,2017-04-09T15:20:26.000Z,2017-04-09T15:46:14.000Z,Province1,District1,Ward1,Village2,24,no,no,24,yes,no,yes,no,7,grass,muddaub,,earth,no,1,1,no,1,yes,yes,21,yes,no,no,,no,more_once,,1,no,,more_half,no,no,,no,no,2,3,7,,10,690,-19.11232028,33.48346266,uuid:268bfd97-991c-473f-bd51-bc80676c65c6
82,28/11/2016,187,2017-04-09T15:48:14.000Z,2017-04-09T16:12:46.000Z,Province1,District1,Ward2,Village2,1,yes,no,43,yes,no,no,yes,5,grass,muddaub,,earth,no,3,2,yes,2,yes,yes,24,yes,no,yes,no,no,more_once,,2,no,,more_half,no,no,,yes,no,4,3,5,,13,691,-19.1122345,33.48349248,uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc
83,28/11/2016,195,2017-04-09T16:13:19.000Z,2017-04-09T16:35:24.000Z,Province1,District1,Ward2,Village2,7,yes,no,48,yes,yes,no,no,5,grass,burntbricks,,earth,no,3,1,no,3,yes,yes,5,yes,no,no,,no,never,,3,no,,more_half,yes,no,,no,no,3,2,5,,9,706,-19.11220559,33.48342104,uuid:2c132929-9c8f-450a-81ff-367360ce2c19
84,28/11/2016,196,2017-04-09T18:00:41.000Z,2017-04-09T18:31:40.000Z,Province1,District1,Ward2,Village2,21,yes,no,49,yes,yes,yes,yes,7,mabatisloping,burntbricks,,earth,no,2,2,no,2,yes,yes,21,yes,no,yes,no,no,more_once,,2,no,,more_half,no,no,,yes,no,3,3,7,,10,694,-19.11220357,33.48340018,uuid:44e427d1-a448-4bf2-b529-7d67b2266c06
85,28/11/2016,197,2017-04-09T18:32:09.000Z,2017-04-09T19:14:52.000Z,Province1,District1,Ward2,Village2,11,no,yes,19,yes,yes,no,no,5,mabatisloping,burntbricks,,cement,yes,1,2,no,2,yes,yes,11,yes,no,no,,no,more_once,,2,no,,more_half,yes,no,,yes,yes,3,2,5,,11,714,-19.11218716,33.4833828,uuid:85c99fd2-775f-40c9-8654-68223f59d091
86,28/11/2016,198,2017-04-09T19:15:21.000Z,2017-04-09T19:27:56.000Z,Province1,District1,Ward2,Village2,11,no,no,49,no,no,no,no,3,grass,burntbricks,,earth,no,1,1,no,2,yes,yes,11,yes,no,no,,no,never,,2,no,,less_half,yes,no,,yes,no,1,3,3,,7,716,-19.11212338,33.48338774,uuid:28c64954-739c-444c-a6e0-355878e471c8
87,21/11/2016,201,2017-04-09T19:31:47.000Z,2017-04-09T19:45:38.000Z,Province1,District1,Ward2,Village2,6,yes,no,6,yes,yes,yes,yes,4,grass,muddaub,,earth,no,1,2,no,2,no,,,,,,,,,2,,,,,no,yes,,yes,no,2,2,4,,10,685,-19.11217226,33.48338504,uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3
88,17/11/2016,202,2017-04-09T19:48:09.000Z,2017-04-09T20:08:15.000Z,Province1,District1,Ward2,Village2,12,yes,no,12,no,no,no,no,12,mabatisloping,burntbricks,,cement,no,2,4,yes,2,yes,yes,9,yes,no,yes,no,no,more_once,,2,no,,more_half,no,yes,,yes,no,3,3,12,,5,705,-19.11218863,33.48340466,uuid:06d39051-38ef-4757-b68b-3327b1f16b9d
89,26/04/2017,72,2017-04-26T15:46:24.000Z,2017-04-26T16:13:33.000Z,Province1,District1,Ward2,Village1,24,yes,no,24,yes,yes,yes,yes,6,grass,muddaub,,earth,no,2,1,no,3,yes,yes,4,yes,no,yes,yes,no,more_once,,3,no,,more_half,no,yes,,yes,no,3,2,6,,5,716,-19.11221489,33.48347358,uuid:c4a2c982-244e-45a5-aa4b-71fa53f99e18
90,26/04/2017,73,2017-04-26T16:13:50.000Z,2017-04-26T16:45:01.000Z,Province1,District1,Ward2,Village1,6,yes,no,9,yes,no,no,no,7,mabatisloping,burntbricks,,cement,no,2,2,no,3,yes,yes,4,yes,yes,yes,no,no,more_once,,3,no,,more_half,yes,no,,yes,no,3,3,7,,4,714,-19.11219747,33.48341488,uuid:ac3da862-9e6c-4962-94b6-f4c31624f207
91,26/04/2017,76,2017-04-26T16:45:28.000Z,2017-04-26T17:26:21.000Z,Province1,District1,Ward2,Village1,22,yes,no,48,yes,yes,yes,yes,17,mabatipitched,burntbricks,,cement,no,5,2,no,6,yes,yes,22,yes,no,yes,yes,no,more_once,,6,no,,more_half,no,no,,yes,no,4,3,17,,9,702,-19.11220193,33.48341762,uuid:4178a296-903a-4a8e-9cfa-0cd6143476e8
92,27/04/2017,83,2017-04-27T12:27:31.000Z,2017-04-27T12:56:42.000Z,Province1,District1,Ward2,Village1,17,yes,no,22,no,no,no,no,5,mabatisloping,burntbricks,,earth,no,2,1,no,2,yes,yes,17,yes,no,yes,no,no,never,,2,no,,abt_half,no,no,,no,no,2,2,5,,33,693,-19.11231638,33.48349754,uuid:a1e9df00-c8ae-411c-931c-c7df898c68d0
93,27/04/2017,85,2017-04-27T12:58:02.000Z,2017-04-27T13:23:06.000Z,Province1,District1,Ward2,Village1,12,yes,no,40,yes,yes,yes,yes,7,grass,sunbricks,,earth,no,3,1,no,3,yes,yes,12,yes,no,no,,no,never,,3,no,,abt_half,yes,yes,,yes,no,2,2,7,,10,697,-19.11235114,33.48358508,uuid:4d0f472b-f8ae-4026-87c9-6b5be14b0a70
94,27/04/2017,89,2017-04-27T16:11:23.000Z,2017-04-27T16:41:41.000Z,Province1,District1,Ward2,Village2,10,no,no,10,yes,yes,no,yes,5,mabatisloping,burntbricks,,cement,yes,2,2,yes,2,yes,yes,10,no,no,no,,no,never,,2,no,,less_half,no,yes,,no,no,3,3,5,,13,710,-19.11231667,33.48348329,uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d
95,27/04/2017,101,2017-04-27T16:42:02.000Z,2017-04-27T18:11:54.000Z,Province1,District1,Ward2,Village2,10,no,no,4,yes,yes,no,no,3,grass,muddaub,,earth,no,1,1,no,2,yes,yes,10,yes,no,no,,no,never,,2,no,,abt_half,no,yes,,no,yes,1,3,3,,11,702,-19.11223501,33.48341767,uuid:3c174acd-e431-4523-9ad6-eb14cddca805
96,27/04/2017,103,2017-04-27T17:38:53.000Z,2017-04-27T18:09:45.000Z,Province1,District1,Ward2,Village1,50,no,no,96,yes,yes,yes,yes,6,mabatisloping,sunbricks,,earth,no,2,1,no,2,yes,yes,10,yes,no,no,,no,never,,2,no,,less_half,yes,no,,yes,no,5,3,6,,9,712,-19.11219049,33.48337002,uuid:e9d79844-ef14-493b-bbd6-d13691cc660e
97,28/04/2017,102,2017-04-28T06:27:07.000Z,2017-04-28T06:52:04.000Z,Province1,District1,Ward2,Village1,15,yes,no,15,no,no,no,no,12,mabatisloping,burntbricks,,earth,no,3,2,no,2,yes,yes,2,yes,no,yes,yes,no,frequently,,2,no,,less_half,no,yes,,no,no,2,3,12,,11,691,-19.04413333,33.40388996,uuid:76206b0b-af74-4344-b24f-81e839f0d7b0
98,28/04/2017,78,2017-04-28T07:09:39.000Z,2017-04-28T07:31:38.000Z,Province1,District1,Ward2,Village1,20,no,no,48,yes,no,yes,no,6,mabatipitched,burntbricks,,earth,no,2,1,no,2,yes,yes,20,yes,no,no,,no,more_once,,2,no,,abt_half,no,no,,no,no,2,2,6,,11,723,-19.04402591,33.40398184,uuid:da3fa7cc-5ce9-44fd-9a78-b8982b607515
99,28/04/2017,80,2017-04-28T09:01:47.000Z,2017-04-28T09:25:51.000Z,Province1,District1,Ward2,Village1,12,no,no,12,no,no,no,no,5,mabatipitched,muddaub,,earth,no,1,1,no,1,yes,yes,12,yes,no,no,,no,more_once,,1,no,,more_half,no,yes,,yes,no,1,3,5,,6,689,-19.04415001,33.40390046,uuid:a85df6df-0336-46fa-a9f4-522bf6f8b438
100,28/04/2017,104,2017-04-28T14:25:13.000Z,2017-04-28T15:18:10.000Z,Province1,District1,Ward2,Village1,35,no,no,52,yes,no,yes,no,14,grass,sunbricks,,cement,no,4,1,yes,4,yes,yes,16,yes,no,yes,no,no,never,,4,no,,abt_half,no,no,,yes,no,4,3,14,,9,711,-19.11225606,33.4833734,uuid:bb2bb365-7d7d-4fe9-9353-b21269676119
101,28/04/2017,105,2017-04-28T15:32:38.000Z,2017-04-28T15:58:10.000Z,Province1,District1,Ward2,Village1,20,yes,no,40,yes,no,yes,no,6,mabatisloping,sunbricks,,earth,no,2,1,no,2,yes,yes,1,yes,no,yes,yes,no,frequently,,2,no,,more_half,no,yes,,yes,yes,2,3,6,,11,735,-19.11221203,33.48350526,uuid:af0904ee-4fdb-4090-973f-599c81ddf022
102,30/04/2017,106,2017-04-30T05:51:18.000Z,2017-04-30T06:47:01.000Z,Province1,District1,Ward2,Village2,22,yes,no,22,no,no,no,no,15,mabatisloping,sunbricks,,cement,yes,4,5,yes,5,yes,yes,21,yes,no,no,,no,never,,5,no,,more_half,yes,no,,yes,no,2,3,15,,5,709,-19.11220965,33.48340866,uuid:468797c1-4a65-4f35-9c83-e28ce46972a2
103,03/05/2017,109,2017-05-03T13:14:43.000Z,2017-05-03T13:37:53.000Z,Province1,District1,Ward2,Village2,12,yes,no,12,yes,no,yes,no,4,grass,sunbricks,,earth,no,1,1,yes,3,no,,,,,,,,,3,,,,,no,no,,yes,no,3,3,4,,10,699,-19.11222402,33.48338036,uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4
104,03/05/2017,110,2017-05-03T13:37:57.000Z,2017-05-03T13:58:06.000Z,Province1,District1,Ward2,Village1,22,no,no,22,yes,yes,yes,yes,6,mabatisloping,sunbricks,,cement,no,2,3,yes,3,yes,yes,22,yes,no,no,,no,never,,3,no,,abt_half,no,no,,yes,no,3,2,6,,9,704,-19.11219756,33.48339714,uuid:e7c51ac4-24e4-475e-88e7-f85e896945e3
105,03/05/2017,113,2017-05-03T14:00:13.000Z,2017-05-03T14:27:03.000Z,Province1,District1,Ward2,Village1,16,no,yes,26,yes,no,no,no,11,mabatisloping,burntbricks,,cement,no,2,3,yes,3,yes,yes,2,yes,no,no,,no,never,,3,no,,less_half,yes,no,,no,no,4,3,11,,12,706,-19.11222682,33.48340708,uuid:01210861-aba1-4268-98d0-0260e05f5155
106,04/05/2017,118,2017-05-04T10:26:35.000Z,2017-05-04T10:46:35.000Z,Province1,District1,Ward2,Village1,6,no,no,25,yes,yes,yes,no,5,grass,muddaub,,earth,no,2,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,3,5,,9,713,-19.11220573,33.48344178,uuid:77335b2e-8812-4a35-b1e5-ca9ab626dfea
107,04/05/2017,125,2017-05-04T10:47:05.000Z,2017-05-04T11:16:05.000Z,Province1,District1,Ward2,Village1,7,yes,no,14,no,yes,no,yes,5,mabatisloping,burntbricks,,earth,no,1,1,no,3,yes,yes,3,yes,yes,no,,no,more_once,,3,no,,less_half,yes,yes,,no,yes,2,3,5,,11,682,-19.11218005,33.4834101,uuid:02b05c68-302e-4e7a-b229-81cb1377fd29
108,04/05/2017,119,2017-05-04T11:16:57.000Z,2017-05-04T11:38:38.000Z,Province1,District1,Ward2,Village1a,14,no,yes,14,yes,no,no,no,3,grass,muddaub,,earth,no,4,1,no,2,yes,no,3,yes,no,no,,no,never,,2,no,,more_half,no,no,,no,no,4,3,3,,5,706,-19.11225658,33.48334839,uuid:fa201fce-4e94-44b8-b435-c558c2e1ed55
109,11/05/2017,115,2017-05-11T05:24:25.000Z,2017-05-11T05:41:56.000Z,Province1,District1,Ward2,Village1b,16,no,no,16,yes,yes,no,no,4,mabatisloping,sunbricks,,cement,no,3,2,yes,2,no,,,,,,,,,2,,,,,yes,no,,yes,no,3,3,4,,20,0,-19.1114691,33.4761047,uuid:628fe23d-188f-43e4-a203-a4bf3257d461
110,11/05/2017,108,2017-05-11T05:42:08.000Z,2017-05-11T06:08:58.000Z,Province1,District1,Ward2,Village2,22,no,no,22,no,yes,no,yes,15,mabatisloping,burntbricks,,cement,no,3,2,yes,3,yes,yes,16,yes,no,no,,no,never,,3,no,,abt_half,no,no,,yes,no,4,3,15,,20,0,-19.1114691,33.4761047,uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b
111,11/05/2017,116,2017-05-11T06:09:56.000Z,2017-05-11T06:22:19.000Z,Province1,District1,Ward2,Village1a,21,yes,no,25,no,no,no,no,5,grass,burntbricks,,cement,no,2,3,yes,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,3,3,5,,20,0,-19.1114691,33.4761047,uuid:cfee6297-2c0e-4f8a-94cc-9aaee0bd64cb
112,11/05/2017,117,2017-05-11T06:28:02.000Z,2017-05-11T06:55:35.000Z,Province1,District1,Ward2,Village1a,1,no,no,28,yes,yes,yes,no,10,grass,muddaub,,cement,no,1,4,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,3,10,,20,0,-19.1114691,33.4761047,uuid:3fe626b3-c794-48e1-a80f-5bfe440c507b
113,18/05/2017,144,2017-05-18T04:36:23.000Z,2017-05-18T05:02:38.000Z,Province1,District1,Ward2,Village1,5,no,no,5,yes,yes,yes,yes,7,mabatisloping,burntbricks,,cement,no,3,4,no,2,yes,yes,5,yes,no,no,,yes,frequently,,2,yes,,abt_half,no,no,,yes,no,4,2,7,,5,710,-19.11218801,33.48342233,uuid:0670cef6-d233-4852-89d8-36955261b0a3
114,18/05/2017,143,2017-05-18T05:55:04.000Z,2017-05-18T06:37:10.000Z,Province1,District1,Ward2,Village1,24,yes,no,24,yes,no,no,no,10,grass,burntbricks,,earth,no,3,2,yes,3,yes,yes,12,yes,no,no,,no,frequently,,3,no,,more_half,yes,no,,yes,no,3,3,10,,1911,0,-19.1124845,33.4763322,uuid:9a096a12-b335-468c-b3cc-1191180d62de
115,18/05/2017,150,2017-05-18T10:37:37.000Z,2017-05-18T10:56:00.000Z,Province1,District1,Ward2,Village1,8,no,no,8,no,yes,no,yes,7,grass,muddaub,,earth,no,2,1,no,2,yes,yes,8,yes,no,no,,no,never,,2,no,,less_half,no,yes,,no,yes,1,3,7,,17,709,-19.11147739,33.47618369,uuid:92613d0d-e7b1-4d62-8ea4-451d7cd0a982
116,18/05/2017,159,2017-05-18T10:56:16.000Z,2017-05-18T11:07:35.000Z,Province1,District1,Ward2,Village2,17,yes,no,24,yes,no,yes,no,4,grass,sunbricks,,earth,no,2,1,no,2,yes,no,2,yes,no,no,,no,never,,2,no,,less_half,no,yes,,no,no,1,3,4,,28,712,-19.11149498,33.47617506,uuid:37577f91-d665-443e-8d70-b914954cef4b
117,03/06/2017,160,2017-06-03T05:08:49.000Z,2017-06-03T05:32:19.000Z,Province1,District1,Ward2,Village2,3,yes,no,13,yes,yes,yes,yes,7,mabatisloping,burntbricks,,earth,no,2,2,no,3,yes,yes,3,yes,no,yes,yes,no,frequently,,3,no,,more_half,yes,yes,,yes,no,2,2,7,,12,711,-19.11218456,33.4834495,uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66
118,03/06/2017,165,2017-06-03T05:32:33.000Z,2017-06-03T05:51:49.000Z,Province1,District1,Ward2,Village1,14,no,no,14,no,no,no,no,9,grass,burntbricks,,earth,no,1,1,yes,2,yes,yes,10,yes,no,no,,no,never,,2,no,,less_half,no,no,,yes,no,3,3,9,,9,708,-19.11217437,33.48346513,uuid:62f3f7af-f0f3-4f88-b9e0-acf8baa49ae4
119,03/06/2017,166,2017-06-03T05:53:28.000Z,2017-06-03T06:25:06.000Z,Province1,District1,Ward2,Village1,16,no,no,16,yes,yes,yes,yes,11,grass,muddaub,,earth,no,2,1,no,3,yes,yes,2,yes,no,no,,no,never,,3,no,,less_half,no,yes,,yes,no,1,2,11,,1799.999,0,-19.1138589,33.4826653,uuid:40aac732-94df-496c-97ba-5b67f59bcc7a
120,03/06/2017,167,2017-06-03T06:25:09.000Z,2017-06-03T06:45:06.000Z,Province1,District1,Ward2,Village1,16,no,no,24,yes,no,yes,no,8,grass,muddaub,,earth,no,5,1,no,2,yes,yes,16,yes,no,no,,no,never,,2,no,,less_half,no,yes,,yes,yes,3,2,8,,2000,0,-19.1149887,33.4882685,uuid:a9d1a013-043b-475d-a71b-77ed80abe970
121,03/06/2017,174,2017-06-03T06:50:47.000Z,2017-06-03T07:20:21.000Z,Province1,District1,Ward2,Village1,13,no,no,25,yes,yes,yes,yes,12,grass,burntbricks,,cement,no,2,2,yes,3,yes,yes,13,yes,yes,no,,no,never,,3,no,,more_half,yes,no,,yes,no,3,3,12,,3,703,-19.11216751,33.48340539,uuid:43ec6132-478c-4f87-878d-fb3c0c4d0c74
122,03/06/2017,175,2017-06-03T07:21:48.000Z,2017-06-03T07:51:29.000Z,Province1,District1,Ward2,Village1,11,no,no,36,yes,yes,yes,yes,7,mabatisloping,burntbricks,,earth,no,2,1,no,2,yes,yes,11,yes,no,no,,no,never,,2,no,,more_half,no,no,,yes,yes,4,2,7,,5,705,-19.11217963,33.48336019,uuid:64fc743e-8176-40f6-8ae4-36ae97fac1d9
123,03/06/2017,189,2017-06-03T15:23:01.000Z,2017-06-03T15:53:10.000Z,Province1,District1,Ward2,Village1,10,yes,no,16,no,yes,no,yes,15,mabatisloping,sunbricks,,earth,no,2,1,yes,3,yes,yes,7,yes,no,no,,no,never,,3,no,,more_half,no,yes,,yes,no,3,3,15,,4,714,-19.11216796,33.48341529,uuid:c17e374c-280b-4e78-bf21-74a7c1c73492
124,03/06/2017,191,2017-06-03T15:54:03.000Z,2017-06-03T16:17:26.000Z,Province1,District1,Ward2,Village1,3,no,no,5,yes,no,yes,no,10,mabatisloping,burntbricks,,cement,yes,1,4,yes,2,yes,yes,3,yes,no,no,,no,never,,2,no,,abt_half,no,no,,yes,no,1,2,10,,9,709,-19.11219207,33.48338051,uuid:dad53aff-b520-4015-a9e3-f5fdf9168fe1
125,03/06/2017,192,2017-06-03T16:17:55.000Z,2017-06-03T17:16:39.000Z,Province1,District1,Ward2,Village3,15,yes,no,20,yes,yes,yes,yes,9,grass,burntbricks,,cement,yes,4,1,no,3,yes,yes,5,yes,no,no,,no,once,,3,no,,more_half,yes,yes,,yes,no,1,3,9,,4,705,-19.11215404,33.48335905,uuid:f94409a6-e461-4e4c-a6fb-0072d3d58b00
126,18/05/2017,126,2017-05-18T04:13:37.000Z,2017-05-18T04:35:47.000Z,Province1,District1,Ward2,Village1,5,yes,no,7,yes,yes,yes,yes,3,grass,burntbricks,,earth,no,1,1,no,2,yes,yes,4,yes,no,no,,no,more_once,,2,no,,less_half,yes,yes,,yes,no,3,3,3,,7,700,-19.11219355,33.48337856,uuid:69caea81-a4e5-4e8d-83cd-9c18d8e8d965
127,04/06/2017,193,2017-06-04T09:36:20.000Z,2017-06-04T10:13:32.000Z,Province1,District1,Ward2,Village1,10,no,no,10,no,no,no,no,7,mabatisloping,cement,,cement,yes,3,3,yes,4,yes,yes,10,yes,no,no,,no,more_once,,4,no,,more_half,no,yes,,no,no,3,3,7,,9,720,-19.11215668,33.48339039,uuid:5ccc2e5a-ea90-48b5-8542-69400d5334df
128,04/06/2017,194,2017-06-04T10:13:36.000Z,2017-06-04T10:32:06.000Z,Province1,District1,Ward2,Village1,5,no,no,5,no,no,yes,no,4,grass,muddaub,,earth,no,2,1,no,2,yes,yes,2,yes,no,no,,no,more_once,,2,no,,more_half,no,yes,,no,no,1,3,4,,10,719,-19.11227133,33.48347111,uuid:95c11a30-d44f-40c4-8ea8-ec34fca6bbbf
129,04/06/2017,199,2017-06-04T10:33:55.000Z,2017-06-04T10:52:22.000Z,Province1,District1,Ward2,Village3,17,yes,no,17,no,no,no,no,7,mabatisloping,burntbricks,,cement,yes,1,2,no,2,yes,yes,6,yes,no,yes,yes,no,more_once,,2,yes,,more_half,yes,no,,yes,no,2,3,7,,5,711,-19.11227751,33.48338952,uuid:ffc83162-ff24-4a87-8709-eff17abc0b3b
130,04/06/2017,200,2017-06-04T10:52:46.000Z,2017-06-04T11:08:13.000Z,Province1,District1,Ward2,Village3,20,yes,no,20,no,yes,no,yes,8,mabatisloping,burntbricks,,cement,no,1,2,yes,2,no,,,,,,,,,2,,,,,no,yes,,yes,no,3,3,8,,20,681,-19.11218302,33.48337175,uuid:aa77a0d7-7142-41c8-b494-483a5b68d8a7
